,lengthOfEmailId,noOfDotsInEmailId,noOfDashesInEmailId,noOfSpecialCharsInEmailId,noOfDigitsInEmailId,noOfSubdomainsInEmailId,noOfUrls,noOfDotsInUrls,noOfDashesInUrls,noOfSpecialCharsInUrls,hasIpAddressInUrls,noOfIpAddressInUrls,noOfHttpsLinks,no_of_attachments,class_label,noOfMaliciousWords
1767,19,0,0,0,0,0,1,3,0,1,0,0,0,0,1,57
1768,16,0,0,0,0,0,1,3,0,1,0,0,0,0,1,57
1769,38,0,0,0,13,0,1,5,0,2,0,0,0,1,1,29
1770,17,0,0,0,0,0,10,33,0,13,0,0,1,0,1,89
1771,28,0,0,0,1,1,6,20,4,20,0,0,2,0,1,41
1772,15,0,0,0,0,0,1,3,0,1,0,0,0,0,1,4
1773,31,0,1,0,7,0,1,5,0,2,0,0,0,1,1,22
1774,27,0,0,0,8,0,1,5,0,2,0,0,0,1,1,43
1775,41,0,1,2,3,0,2,11,2,2,0,0,0,1,1,36
1776,19,0,0,0,1,0,11,29,4,27,0,0,5,0,1,123
1777,34,0,1,0,0,1,3,9,1,5,0,0,2,0,1,50
1778,19,0,1,0,0,0,10,34,0,13,1,1,1,0,1,89
1779,40,0,1,0,10,0,1,7,0,2,0,0,0,1,1,2
1780,38,0,0,0,15,0,1,5,0,2,0,0,0,1,1,27
1781,25,0,0,0,0,0,8,28,1,19,0,0,2,0,1,52
1782,23,0,0,0,0,0,2,7,1,2,0,0,1,0,1,106
1783,26,0,0,1,7,0,1,5,0,2,0,0,0,1,1,17
1784,18,0,0,0,0,0,8,24,3,17,0,0,3,0,1,62
1785,18,0,0,0,0,0,2,5,2,5,0,0,1,0,1,47
1786,21,0,1,0,0,0,21,64,2,69,1,1,16,0,1,117
1787,18,0,0,0,0,0,2,6,1,7,0,0,1,0,1,43
1788,33,0,0,1,7,0,1,5,0,2,0,0,0,1,1,25
1789,22,0,0,0,0,0,3,13,0,8,1,1,1,0,1,42
1790,18,0,0,0,0,0,2,6,1,7,0,0,1,0,1,43
1791,15,0,0,0,0,0,30,82,3,59,0,0,0,0,1,119
1792,24,0,0,0,7,0,1,5,0,2,0,0,0,1,1,5
1793,21,0,0,0,0,0,1,2,0,1,0,0,0,0,1,22
1794,16,0,0,0,0,0,1,2,0,1,0,0,0,0,1,22
1795,23,0,0,0,0,0,2,6,2,2,0,0,1,0,1,106
1796,16,0,0,0,0,0,2,7,0,2,0,0,0,0,1,27
1797,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1798,0,0,0,0,0,0,3,11,0,5,1,1,0,0,1,37
1799,19,0,0,0,0,0,4,12,2,9,0,0,1,0,1,57
1800,31,0,1,0,5,0,1,5,0,1,0,0,0,1,1,28
1801,21,0,1,0,0,0,1,5,0,1,0,0,0,0,1,61
1802,40,0,0,0,14,0,1,5,0,2,0,0,0,1,1,26
1803,27,0,1,0,0,0,3,12,6,3,1,1,0,0,1,33
1804,25,0,0,0,0,0,2,9,0,9,1,1,0,0,1,59
1805,18,0,0,0,0,0,15,45,11,32,0,0,13,0,1,59
1806,27,1,0,0,0,0,21,64,3,70,0,0,16,0,1,107
1807,18,0,0,0,0,0,2,11,6,5,0,0,0,0,1,14
1808,18,0,0,0,0,0,5,15,2,9,0,0,1,0,1,97
1809,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35
1810,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35
1811,15,0,0,0,0,0,23,66,10,51,1,1,0,0,1,126
1812,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35
1813,19,0,1,0,0,0,21,63,3,60,0,0,0,0,1,100
1814,25,0,0,0,0,1,1,1,0,1,0,0,0,1,1,158
1815,19,0,0,0,0,0,2,9,3,7,0,0,1,0,1,47
1816,16,0,0,0,0,0,5,15,0,6,1,1,0,0,1,76
1817,35,2,0,0,12,0,1,6,2,2,0,0,0,1,1,12
1818,18,0,0,0,0,0,11,31,4,27,0,0,5,0,1,123
1819,32,0,1,2,4,0,2,7,0,2,0,0,0,1,1,36
1820,19,0,1,0,0,0,4,19,0,33,1,1,0,0,1,15
1821,18,0,0,0,0,0,3,8,2,7,0,0,1,0,1,68
1822,26,0,1,0,0,0,4,14,5,15,1,1,0,0,1,84
1823,28,0,0,0,3,0,3,11,0,5,1,1,0,0,1,38
1824,29,1,0,0,3,0,2,8,0,4,1,1,0,0,1,36
